split,class_id,class_name,pixel_count,pixel_ratio
train,0,paved_low_cost,0,0.0
train,1,natural_low_cost,147301392,0.28402614129533393
train,2,medium_cost,79767400,0.1538072825758593
train,3,high_cost_or_obstacle,223871295,0.4316680188985545
train,255,ignore,67679049,0.1304985572302523
val,0,paved_low_cost,0,0.0
val,1,natural_low_cost,23812237,0.294803976867552
val,2,medium_cost,12591863,0.1558917496315606
val,3,high_cost_or_obstacle,31767101,0.3932880270070043
val,255,ignore,12601919,0.15601624649388313
